Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76618066,218.7,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76618066,218.7,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76618072,-2700,GBP
BIS,EPSRC,12/01/2015,Telecoms - Non Capital Hardware Costs,International offices,Powwow,76622200,21.46,GBP
BIS,EPSRC,12/01/2015,Meetings & Catering,Programme Delivery Engineering,Calder Conference Ltd,76622207,6731.52,GBP
BIS,EPSRC,12/01/2015,Meetings & Catering,Programme Delivery Manufacturing,Calder Conference Ltd,76624088,56.21,GBP
BIS,EPSRC,12/01/2015,Meetings & Catering,Programme Delivery Manufacturing,Calder Conference Ltd,76624088,182.1,GBP
BIS,EPSRC,12/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,76624149,160,GBP
BIS,EPSRC,12/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,76624150,160,GBP
BIS,EPSRC,12/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,76624151,160,GBP
BIS,EPSRC,12/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,76624153,160,GBP
BIS,EPSRC,13/01/2015,T&S UK - Public Transport,Programme Delivery Digital Economy,Unspecified,74287284,17.8,GBP
BIS,EPSRC,13/01/2015,T&S UK - Public Transport,Programme Delivery Digital Economy,Unspecified,74287285,20.4,GBP
BIS,EPSRC,13/01/2015,T&S UK - Public Transport,Programme Delivery Digital Economy,Unspecified,74287286,20.6,GBP
BIS,EPSRC,13/01/2015,T&S UK - Subsistence,Programme Delivery Digital Economy,Unspecified,74287286,23.65,GBP
BIS,EPSRC,13/01/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,76650061,108.5,GBP
BIS,EPSRC,13/01/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,76650062,104,GBP
BIS,EPSRC,13/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,76650063,320,GBP
BIS,EPSRC,13/01/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,76650064,79.4,GBP
BIS,EPSRC,13/01/2015,Marketing & PR,Communications and Stakeholder Engagement,Unspecified,76692060,4596.4,GBP
BIS,EPSRC,13/01/2015,SSC Service Charges,EPSRC Corporate Services,Kelway (UK) Limited,76780069,223.2,GBP
BIS,EPSRC,13/01/2015,Other Programme Costs,NC Physical Sciences,University of Liverpool,76793060,2842,GBP
BIS,EPSRC,13/01/2015,Childcare Nursery,PSU HR,P&MM Limited,76800092,58.87,GBP
BIS,EPSRC,13/01/2015,Nursery Deductions,Balance Sheet,P&MM Limited,76800092,4905.85,GBP
BIS,EPSRC,13/01/2015,Secondments,Admin RCUK Strategy Unit,National Trust,76882060,13328.16,GBP
BIS,EPSRC,13/01/2015,Conferences & Seminars,Performance and Evaluation,Unspecified,76886185,400,GBP
BIS,EPSRC,13/01/2015,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,76886186,20.2,GBP
BIS,EPSRC,13/01/2015,T&S UK - Public Transport,EPSRC Corporate Services,Unspecified,76886187,8.8,GBP
BIS,EPSRC,13/01/2015,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,76886188,5,GBP
BIS,EPSRC,13/01/2015,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,76886188,15.4,GBP
BIS,EPSRC,13/01/2015,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,76886189,4.45,GBP
BIS,EPSRC,13/01/2015,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,76886189,8.3,GBP
BIS,EPSRC,13/01/2015,T&S UK - Other Charges,Programme Delivery ICT,Unspecified,76886190,2,GBP
BIS,EPSRC,13/01/2015,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,76886190,5.7,GBP
BIS,EPSRC,13/01/2015,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,76886191,5.8,GBP
BIS,EPSRC,13/01/2015,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,76886191,9.44,GBP
BIS,EPSRC,13/01/2015,T&S UK - Public Transport,Programme Delivery Quantum Technology,Unspecified,76886192,2.8,GBP
